Column1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Final energy consumption (ktoe),58816.4225,63233.49457,60538.084,59751.24051,57717.01899,56560.00079,57470.24796,48354.97176,55301.19151,52053.34496,56397.00746,48700.12645,51864.07777,55216.12669,46330.12301,47582.01755,49478.04659,49249.12288,48294.54056,50171.63379,50152.93583,49549.41044,49398.92515,44756.36422
Space heating,48317.96273,52261.84293,49313.23011,48225.90847,46045.15882,44720.11448,45716.67414,36973.53614,43791.40733,40644.78933,44710.89354,37456.71836,40715.70697,44757.34984,35958.38515,37373.30088,39363.81703,38541.92674,37332.9353,39386.02717,39419.02315,38881.02254,38159.98566,34780.25931
Solids,918.3542562,892.2729149,730.4535684,740.9047291,598.9794497,603.7039553,679.5582975,717.5073087,651.705417,634.8128977,992.1415305,865.783061,742.8448839,691.6314703,572.7649183,600.7848667,519.5797077,500.3765262,492.4752365,345.3883061,315.7059329,348.1129837,298.1466036,311.4836629
Liquified petroleum gas (LPG),756.0225206,773.8565346,689.4403245,597.4557506,788.7283893,696.142011,750.8180294,464.0089765,643.4283926,620.110472,705.1248972,654.405825,609.5248782,766.3423112,615.7856385,510.572262,658.2190327,486.0588349,735.4616982,664.7313672,735.114991,667.7282756,730.8680847,469.5959003
Diesel oil,16476.62666,18959.80097,16602.49267,16020.42948,14367.6393,14149.99456,15121.03304,8916.043416,13101.30504,11272.10153,11521.3572,9621.97697,10356.522,11898.6549,10038.61907,9710.033023,9419.519385,9282.26584,8017.813485,9384.925853,10303.36492,6036.558121,8393.068797,7924.586964
Natural gas,20138.71573,21336.33474,21103.50378,21001.01431,20222.33937,19441.88182,19016.65663,17178.38261,18517.83616,18199.26497,20184.41338,16425.1051,18298.61187,19381.04983,15294.75018,16639.63773,18794.50191,18186.45086,18479.50853,18820.84711,18318.06718,21170.77181,17813.32903,16612.91251
Biomass,3840.225618,3908.514351,3918.078384,4401.405201,4275.626655,4185.392107,4943.559114,5040.713621,6007.756514,5250.492162,6247.415086,5491.757786,6679.966605,6840.206793,5114.439453,5147.700697,4823.944736,4941.825002,5184.94614,5424.857973,5063.505388,6010.409401,6534.126488,5053.216972
Geothermal,0,0,0,1.41989151,3.470988293,3.713146349,3.956759034,3.706318803,5.316254632,7.534992375,13.08902612,14.50944801,19.30775848,20.045965,18.46514824,20.96501531,27.17186747,25.40749458,21.01875698,23.17892472,22.14454122,34.78831133,32.68302116,35.72505243
Distributed heat,5389.732826,5494.95262,5378.872791,4553.370557,4910.478622,4775.71622,4314.834692,3869.591298,3951.648559,3755.355769,4056.137095,3473.944143,3014.888086,4075.311063,3330.537475,3728.888254,4059.963829,4045.631513,3325.547368,3609.681112,3515.580601,3449.82666,3127.183238,3072.705971
Advanced electric heating,91.03183614,119.3348926,143.7581659,167.4005501,162.6678391,164.7166781,186.205315,217.3598406,255.8600741,291.2287432,323.6945551,354.578213,387.8843914,418.2223607,440.5793786,462.3456769,484.1633079,507.3690382,528.3292237,556.471693,592.2911869,621.0110802,690.0001532,803.6357768
Conventional electric heating,162.9334677,186.3840985,196.0012446,210.8215155,211.5450667,211.6491256,209.3041869,180.8096514,194.9473951,183.6539354,197.9897212,166.190309,175.042856,188.1700817,146.3656437,146.7348434,142.8921369,140.3674841,124.6617256,108.3124676,96.07775253,89.20111646,92.9848792,81.87859301
Electricity in circulation,544.3198161,590.3918146,550.6291821,531.686491,503.6831445,487.2048553,490.7480812,385.4131038,461.6035228,430.2338532,469.5310462,388.4675045,431.1136434,477.715067,386.0782364,405.6385096,433.8611086,426.1741438,423.1731379,447.6323608,457.1706474,452.6147782,447.5953617,414.5179143
Space cooling,49.76589487,49.6473295,49.63408028,93.46811527,51.23801444,55.74994341,88.53418697,70.19962381,78.53593929,81.70888857,96.4887587,103.1779163,103.4800564,102.7247062,100.2207653,97.95218305,105.0967565,112.2084886,106.1687207,108.2028279,109.3764211,119.4218974,115.1264928,108.6047339
Air conditioning,49.76589487,49.6473295,49.63408028,93.46811527,51.23801444,55.74994341,88.53418697,70.19962381,78.53593929,81.70888857,96.4887587,103.1779163,103.4800564,102.7247062,100.2207653,97.95218305,105.0967565,112.2084886,106.1687207,108.2028279,109.3764211,119.4218974,115.1264928,108.6047339
Water heating,7770.46601,8135.35172,8303.231677,8485.989,8582.222644,8680.182249,8608.240922,8401.265491,8633.555822,8536.884825,8717.689941,8549.625545,8404.933282,7735.652751,7769.534996,7686.657417,7670.469347,8086.526167,8464.370491,8295.15643,8321.449466,8142.109154,8419.813726,7503.699876
Liquified petroleum gas (LPG),130.824255,118.6389083,109.2865887,91.68956321,126.81959,110.3323656,115.4651176,96.6912815,113.062665,114.3098204,123.8464699,134.9860064,116.0999713,94.51263292,98.03757734,76.71088507,95.89489682,79.78381341,129.7631513,122.3043164,135.2538826,122.3938224,135.3855696,86.98750473
Diesel oil,2319.537483,2593.958449,2446.322635,2479.033377,2347.793034,2412.461762,2518.051057,1770.476361,2282.686445,2091.586257,1991.597057,1956.709014,1946.874558,1450.428251,1595.250143,1425.965343,1355.049489,1501.480677,1390.775509,1701.526942,1869.978671,1080.533367,1531.947024,1460.184317
Natural gas,3227.22042,3315.471605,3541.023818,3701.851982,3760.919749,3766.999279,3588.824088,3871.780258,3636.906309,3672.208143,3770.436776,3419.850093,3432.718312,3258.724381,3178.686459,3293.61542,3518.149122,3639.845514,3981.545913,3744.883497,3619.775499,4110.537252,3733.867195,3267.809027
Biomass,187.4088623,192.4696555,216.3440584,266.2168106,285.183491,304.5286148,367.9198198,470.4882709,509.9419386,494.2055163,571.2053783,615.0779832,574.4042467,665.5494411,859.9801519,831.5196809,679.2080587,721.9993312,850.3075141,710.6631795,686.8051017,744.1286902,794.573254,657.8511274
Geothermal,0,0,0,0.108741336,0.278882731,0.308951673,0.318563408,0.354042332,0.439893261,0.657440987,1.050612748,1.349881313,1.734545904,1.689030697,1.860647119,2.011940839,2.588321701,2.394139127,1.958199164,2.138702103,2.026653962,3.164311197,2.952748399,3.206847829
Distributed heat,540.4286533,530.890544,556.8298747,491.7235102,555.9157894,559.5039867,489.0966925,519.8946868,458.9753451,458.8651253,455.2797584,451.4164756,361.2463934,331.0613356,331.9732731,341.1413251,359.7361708,385.5092433,330.9205599,357.5014331,348.1817378,413.9356788,323.0173641,322.3762301
Electricity,1268.21822,1258.480683,1284.575949,1255.474905,1301.242202,1283.976955,1243.359736,1354.560471,1269.691722,1278.951404,1349.320235,1449.00273,1429.316819,1385.273578,1113.033073,1083.181128,1027.88095,1109.936836,1049.329911,958.4455831,927.2936123,964.6119915,1097.912961,955.9536097
Solar,96.82811694,125.4418745,148.8487532,199.8901118,204.0699054,242.0703353,285.2058469,317.0201204,361.8515047,426.1011178,454.9536543,521.233362,542.5384351,548.4141015,590.7136715,632.5116939,631.9623388,645.5766122,729.7697334,697.6927773,732.1343078,702.8040413,800.1576096,749.3312124
Cooking,2678.227866,2786.652593,2871.988128,2945.874926,3038.399509,3103.954113,3056.798717,2909.9705,2797.692417,2789.961915,2871.935221,2590.604632,2639.957455,2620.399394,2501.982101,2424.107074,2338.663457,2508.461484,2391.066051,2382.247364,2303.086798,2406.856848,2703.999272,2363.800299
Natural gas,75.09996805,77.14894562,83.5463457,89.29183817,92.22841253,93.924142,89.85686195,93.37634231,83.07111325,87.21072158,90.49824952,79.03190981,86.47506449,97.26000764,87.0385975,87.0463361,81.72007261,86.39287762,92.9381628,104.3712859,101.4151858,116.9970383,100.3666285,90.8826789
Electricity,2603.127898,2709.503647,2788.441782,2856.583087,2946.171097,3010.029971,2966.941855,2816.594157,2714.621304,2702.751193,2781.436971,2511.572723,2553.48239,2523.139386,2414.943504,2337.060738,2256.943384,2422.068607,2298.127889,2277.876078,2201.671612,2289.859809,2603.632644,2272.91762
Population,82163475,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,83118501
Number of households,38136234,38317671,38540012,38724361,38862308,38989059,39331104,39593509,40008680,40079353,40296678,39733564,39984022,39823811,40023520,40558210,40822496,41178470,41437613,41551158,41467181,41473831,41514775,41086753
Inhabitants per household,2.154472699,2.14677818,2.139083636,2.131389076,2.123694532,2.116000004,2.096000026,2.07900002,2.05499999,2.045999994,2.030000016,2.018999982,2.008999995,2.022000004,2.017999991,2.002000014,2.012999989,2.003999979,1.998000005,1.997999984,2.005603202,2.004999996,2.005000003,2.022999992
Actual heating degree-days,3636.65,3423.87,3210.62,3215.86,3501.02,3663.45,3555.26,3693.15,3079.76,2989.94,2963.5,3400.57,3076.83,3278.21,2994.5,3261.4,3815.5,3227.46,3111.72,2974.45,2842.27,3216.74,3052.98,3221.84
Actual cooling degree-days,1.15,0.93,7.66,17.75,7,1.92,6.77,3.21,3.41,7.57,6.5,7.59,25.72,0.51,48.96,15.84,3.27,7.77,14,5.47,7.21,12.09,13.6,51.71
Gross domestic product,3295140.008,3349036.49,3341396.677,3323696.755,3362311.399,3392115.619,3523280.045,3625055.031,3657250.822,3454456.178,3597285.175,3732492.976,3749758.266,3764658.394,3846758.188,3910711.345,3997625.706,4109480.783,4156123.782,4196766.143,4023378.626,4180695.601,4256330.411,4219310
Household consumption expenditure,1853218.384,1871497.485,1861025.537,1875000.513,1886923.197,1903980.247,1931127.377,1928247.726,1929468.383,1936470.72,1947365.128,1970393.528,1992587.682,1994232.116,2013961.263,2060423.544,2106471.395,2138125.799,2168351.97,2204522.175,2055696.812,2096191.744,2233093.159,2218511
