DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Basic chemicals,"28,198.1","28,178.6","28,319.2","28,285.9","28,708.3","29,750.1","28,931.2","29,597.0","29,608.7","27,394.4","29,965.1","28,776.2","29,353.6","29,600.6","29,734.9","29,428.4"
Lighting,91.5,91.1,92.8,105.8,100.6,107.0,109.1,121.3,127.8,116.2,129.1,123.3,129.1,131.9,130.4,136.8
Air compressors,594.8,591.9,603.3,687.6,653.7,695.4,708.8,788.2,830.9,755.4,839.1,801.5,838.9,857.2,847.5,889.3
Motor drives,109.8,109.3,111.4,126.9,120.7,128.4,130.9,145.5,153.4,139.5,154.9,148.0,154.9,158.2,156.5,164.2
Fans and pumps,869.3,865.1,881.7,"1,005.0",955.5,"1,016.4","1,036.0","1,152.0","1,214.4","1,104.1","1,226.3","1,171.4","1,226.1","1,252.8","1,238.7","1,299.7"
Low enthalpy heat,256.2,255.0,259.9,296.2,281.6,299.6,305.3,339.5,357.9,325.4,361.4,345.2,361.4,369.2,365.1,383.1
Diesel oil (incl. biofuels),0.0,0.0,0.0,23.8,20.0,25.4,28.8,35.2,56.9,31.0,33.2,34.0,33.6,29.5,23.5,15.2
Natural gas (incl. biogas),76.9,76.5,78.0,88.9,84.5,89.9,91.6,101.9,107.4,97.6,108.4,103.6,108.4,110.8,109.5,114.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,179.3,178.5,181.9,183.5,177.1,184.3,184.9,202.5,193.6,196.8,219.8,207.7,219.3,229.0,232.0,253.0
Chemicals: Feedstock (energy used as raw material),"20,014.3","20,034.6","20,018.5","18,824.4","19,713.2","20,181.4","19,177.9","18,751.6","18,176.3","17,000.3","18,420.3","17,748.5","17,810.9","17,806.5","18,073.3","17,192.7"
Solids,0.0,0.0,0.0,0.0,0.0,27.0,34.8,39.0,42.6,12.8,41.5,36.7,32.6,32.6,21.3,17.7
Refinery gas,393.7,417.4,503.6,52.5,42.7,42.0,42.0,41.6,42.4,31.4,35.5,33.5,32.4,32.4,28.8,32.3
LPG,913.0,910.8,852.6,903.4,980.4,"1,038.3","1,007.9","1,037.3",989.6,966.4,"1,069.7","1,051.1","1,158.8","1,197.3",881.8,"1,051.0"
Diesel oil,380.1,489.8,545.1,554.1,523.3,647.2,569.5,683.4,692.4,445.7,622.9,613.8,580.9,454.9,351.1,176.9
Residual fuel oil,"2,618.7","2,743.9","2,869.0","1,717.8","1,565.9","1,666.2","1,656.6","1,635.6","1,690.1","1,704.4","1,632.8","1,619.4","1,673.8","1,173.2","1,167.5","1,255.4"
Other liquids,83.1,38.4,33.4,61.4,57.2,94.8,117.0,79.9,95.4,94.0,89.4,77.6,66.1,58.7,57.3,71.2
Naphtha,"13,476.0","13,284.7","13,065.1","13,385.6","14,179.1","14,193.7","13,385.6","12,934.7","12,447.1","11,808.2","12,536.4","12,000.5","12,209.6","12,447.1","13,037.7","12,215.9"
Natural gas,"2,149.6","2,149.6","2,149.6","2,149.6","2,364.6","2,472.1","2,364.6","2,300.1","2,176.7","1,937.5","2,392.1","2,316.0","2,056.6","2,410.3","2,527.8","2,372.1"
Chemicals: Steam processing,4359.8,4338.6,4422.0,5040.4,4792.0,5097.5,5195.9,5777.6,6090.3,5537.2,6150.3,5874.8,6149.1,6283.1,6212.5,6518.3
Solids,311.8,535.4,510.8,470.2,246.0,131.5,172.0,288.3,326.0,252.3,492.2,354.1,355.6,403.4,501.6,939.5
Refinery gas,79.9,17.1,2.3,457.2,368.5,365.1,366.5,359.3,374.0,273.0,303.3,287.6,275.9,278.8,274.0,315.1
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,28.3,29.9,36.1,24.9,28.1,50.3,23.1,30.5,24.6,24.9,22.0,17.9,9.3
Residual fuel oil,275.6,378.0,425.9,"1,105.3","1,006.7","1,071.2","1,065.7","1,052.7","1,086.9","1,096.2","1,050.0","1,041.7","1,076.7","1,132.1","1,126.5","1,211.3"
Other liquids,0.0,6.5,20.3,0.0,4.3,6.5,2.2,0.0,0.0,0.0,0.0,0.0,5.1,4.3,5.1,13.3
Natural gas (incl. biogas),"3,364.4","3,079.9","3,148.0","2,065.9","2,241.5","2,382.1","1,550.8","1,934.1","2,210.8","1,817.1","2,332.8","1,843.1","1,974.5","1,969.0","1,932.2","1,682.4"
Derived gases,91.9,81.7,78.4,0.0,0.0,0.1,0.1,14.7,0.0,0.0,81.6,155.3,80.4,83.5,64.1,58.2
Biomass,0.0,0.0,0.0,6.9,9.5,20.3,18.7,105.1,104.2,91.6,177.0,182.1,204.6,204.6,208.4,232.6
Steam distributed,236.1,239.9,236.3,906.5,885.5,"1,084.5","1,994.9","1,995.3","1,938.1","1,984.1","1,682.8","1,986.2","2,151.5","2,185.4","2,082.8","2,056.6"
Chemicals: Furnaces,"1,030.5","1,025.5","1,045.2","1,191.4","1,132.7","1,204.9","1,228.1","1,365.6","1,439.5","1,308.8","1,453.7","1,388.6","1,453.4","1,485.1","1,468.4","1,540.7"
Chemicals: Furnaces - Thermal,537.8,492.1,527.8,789.0,671.6,756.4,823.6,"1,112.5","1,208.7","1,190.7","1,226.0","1,180.2","1,273.4","1,300.5","1,227.7","1,361.0"
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),537.8,492.1,527.8,789.0,671.6,756.4,823.6,1105.0,1208.7,1190.7,1226.0,1178.6,1273.4,1300.5,1227.7,1361.0
Chemicals: Furnaces - Electric,492.7,533.3,517.5,402.4,461.0,448.5,404.5,253.1,230.9,118.1,227.7,208.3,180.0,184.6,240.7,179.7
Chemicals: Process cooling,515.2,512.7,522.6,595.7,566.3,602.4,614.1,682.8,719.8,654.4,726.8,694.3,726.7,742.5,734.2,770.3
Chemicals: Process cooling - Natural gas (incl. biogas),186.2,170.4,182.7,273.1,232.5,261.8,285.1,385.1,418.4,412.2,424.4,408.5,440.8,450.2,425.0,471.1
Chemicals: Process cooling - Steam,158.5,157.8,160.8,183.3,174.3,185.4,188.9,210.1,221.5,201.4,223.6,213.6,223.6,228.5,225.9,237.0
