DE: Iron and steel / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Integrated steelworks,"13,410.7","12,863.4","12,762.5","13,884.8","12,791.3","11,850.3","12,879.0","12,210.4","12,025.1","8,997.0","11,931.5","12,107.2","12,076.6","11,993.5","12,045.2","12,246.8"
Lighting,21.5,20.6,20.5,22.3,20.5,19.0,20.6,19.6,19.3,14.4,19.1,19.4,19.4,19.2,19.3,19.6
Air compressors,11.5,11.0,10.9,11.9,10.9,10.1,11.0,10.4,10.3,7.7,10.2,10.3,10.3,10.3,10.3,10.5
Motor drives,286.6,274.9,272.7,296.7,273.3,253.2,275.2,260.9,257.0,192.3,255.0,258.7,258.1,256.3,257.4,261.7
Fans and pumps,7.2,6.9,6.8,7.4,6.8,6.3,6.9,6.5,6.4,4.8,6.4,6.5,6.5,6.4,6.4,6.5
Low enthalpy heat,14.3,13.7,13.6,14.8,13.7,12.7,13.8,13.0,12.8,9.6,12.7,12.9,12.9,12.8,12.9,13.1
Diesel oil (incl. biofuels),2.9,2.7,2.7,3.0,2.7,2.5,2.8,2.6,2.6,1.9,2.5,2.6,2.6,2.6,2.6,2.6
Natural gas (incl. biogas),4.3,4.1,4.1,4.5,4.1,3.8,4.1,3.9,3.9,2.9,3.8,3.9,3.9,3.8,3.9,3.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,7.2,6.9,6.8,7.4,6.8,6.3,6.9,6.5,6.4,4.8,6.4,6.5,6.5,6.4,6.4,6.5
Steel: Sinter/Pellet making,"1,331.6","1,277.2","1,267.2","1,378.6","1,270.1","1,176.6","1,278.8","1,212.4","1,194.0",893.3,"1,184.7","1,202.1","1,199.1","1,190.9","1,196.0","1,216.0"
Solids,514.6,84.2,203.1,124.8,0.0,0.0,0.0,0.0,0.0,129.0,213.1,317.6,666.9,743.2,718.7,833.4
Residual fuel oil,812.7,"1,035.6",814.0,974.3,589.0,688.3,571.3,371.1,258.3,264.0,292.0,316.1,243.8,251.5,220.7,97.3
Natural gas (incl. biogas),0.0,148.2,237.8,270.0,628.4,289.2,513.4,654.0,742.0,332.6,493.7,395.5,208.4,151.9,172.4,197.4
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,4.2,9.2,12.2,9.6,52.7,199.2,194.1,187.3,193.7,167.8,185.9,173.0,79.9,44.3,84.2,87.9
Steel: Blast /Basic oxygen furnace,"8,737.8","8,381.2","8,315.4","9,046.7","8,334.2","7,721.1","8,391.4","7,955.7","7,834.9","5,862.0","7,774.0","7,888.5","7,868.5","7,814.4","7,848.1","7,979.4"
Solids,"1,025.4","1,307.5","1,368.1","2,607.1","2,554.2","2,470.8","2,671.3","2,417.9","2,393.3","1,533.6","2,710.1","2,903.0","2,972.3","3,465.6","3,531.6","3,573.2"
Coke,"4,951.6","4,545.9","4,491.4","4,085.1","2,939.8","2,700.8","3,146.3","3,149.3","2,788.9","2,485.7","2,721.7","2,619.9","2,506.2","2,135.3","2,099.0","2,059.4"
Residual fuel oil,0.0,0.0,0.0,0.0,324.1,28.9,9.6,232.4,292.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derived gases,"2,760.8","2,527.8","2,455.9","2,354.4","2,516.0","2,520.5","2,564.2","2,156.1","2,359.9","1,842.7","2,342.2","2,365.7","2,390.0","2,213.4","2,217.4","2,346.8"
"Steel: Furnaces, Refining and Rolling","1,997.4","1,915.8","1,900.8","2,068.0","1,905.1","1,765.0","1,918.2","1,818.6","1,791.0","1,340.0","1,777.0","1,803.2","1,798.7","1,786.3","1,794.0","1,824.0"
"Steel: Furnaces, Refining and Rolling - Thermal","1,209.5","1,158.7","1,148.5","1,253.7","1,154.1","1,066.4","1,158.0","1,097.6","1,093.6",819.8,"1,088.5","1,100.7","1,098.7","1,076.1","1,080.6","1,113.4"
LPG,8.3,10.2,7.7,7.2,8.5,1.3,1.3,1.3,30.9,27.2,37.5,34.5,37.3,0.7,0.7,0.7
Diesel oil (incl. biofuels),19.3,12.7,12.2,25.2,19.1,17.3,16.6,14.8,16.7,12.3,18.2,12.3,11.4,10.3,9.9,46.9
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),"1,181.8","1,135.7","1,128.5","1,221.4","1,126.5","1,047.8","1,140.2","1,081.5","1,046.1",780.3,"1,032.8","1,053.8","1,050.0","1,065.2","1,070.0","1,065.8"
"Steel: Furnaces, Refining and Rolling - Electric",787.9,757.2,752.4,814.2,751.0,698.5,760.1,721.0,697.4,520.2,688.6,702.6,700.0,710.1,713.4,710.6
Steel: Products finishing,"1,003.0",962.1,954.5,"1,038.4",956.7,886.3,963.2,913.2,899.4,672.9,892.4,905.5,903.2,897.0,900.9,915.9
Steel: Products finishing - Thermal,606.6,487.0,426.0,534.7,347.9,321.6,349.9,332.9,333.0,252.1,334.0,338.1,339.4,327.7,329.5,340.3
LPG,2.9,3.5,2.7,2.5,2.9,0.4,0.4,0.5,10.8,9.6,13.2,12.1,13.2,0.2,0.2,0.2
Diesel oil (incl. biofuels),6.6,4.4,4.2,8.7,6.6,6.0,5.8,5.2,5.8,4.3,6.4,4.3,4.0,3.6,3.5,16.4
Natural gas (incl. biogas),597.1,479.1,419.1,523.5,338.3,315.2,343.7,327.2,316.4,238.2,314.4,321.6,322.1,323.8,325.8,323.6
Steel: Products finishing - Steam,316.6,301.3,298.0,323.0,296.5,273.7,296.0,278.3,274.2,200.9,268.1,270.5,266.5,270.4,270.6,276.9
Solids,126.8,113.8,121.0,155.5,134.9,142.2,146.3,127.1,122.6,78.9,127.7,129.3,126.3,155.3,151.4,164.9
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,1.1,1.3,0.9,0.6,0.7,0.1,0.1,0.1,2.5,2.1,2.6,2.2,2.1,0.0,0.0,0.0
Diesel oil (incl. biofuels),2.8,1.9,1.7,2.5,1.8,1.8,1.6,1.4,1.5,1.1,1.4,0.9,0.8,0.7,0.7,2.9
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,7.1,4.5,1.3,1.9,1.3,4.4,6.8,1.9,3.1,1.9,2.5,1.9,1.3
Natural gas (incl. biogas),186.0,184.3,174.3,145.0,136.3,119.9,135.5,132.6,131.4,81.9,98.7,89.8,71.6,74.4,71.8,75.6
