DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Value added (M€2010),"466,804.7","468,792.6","459,760.1","459,710.3","470,436.6","474,409.4","506,699.2","534,448.4","520,483.5","429,822.7","499,239.2","536,446.1","534,662.4","530,050.0","552,062.8","563,521.4"
Iron and steel,"13,426.9","13,522.2","13,425.9","13,102.7","14,295.7","15,441.5","16,619.1","19,293.4","18,794.5","11,813.5","11,593.1","13,709.6","13,509.5","12,795.5","12,941.9","12,499.1"
Non Ferrous Metals,"7,723.9","7,777.0","7,720.2","7,533.2","8,215.8","8,871.3","9,545.0","11,077.0","10,789.3","9,235.4","9,246.1","10,214.0","10,929.8","10,524.5","10,233.4","10,838.1"
Alumina production,388.8,393.3,392.0,383.6,421.9,458.7,496.5,580.4,566.6,521.0,534.2,595.7,618.8,616.7,600.8,635.0
Aluminium production,"2,363.2","2,378.2","2,359.8","2,301.9","2,508.1","2,706.1","2,909.7","3,374.0","3,285.5","3,016.2","3,080.2","3,418.1","3,538.6","3,516.2","3,415.0","3,598.1"
Other non-ferrous metals,"2,608.8","2,627.3","2,608.6","2,545.8","2,777.6","3,000.3","3,229.1","3,748.7","3,651.7","2,682.1","2,551.6","2,782.2","3,233.8","2,875.3","2,802.7","3,006.9"
Chemicals Industry,"51,694.6","52,706.0","53,168.2","53,043.5","54,036.4","55,982.0","57,100.4","60,107.2","61,567.4","55,971.9","61,837.0","62,334.8","61,273.8","60,390.5","62,658.1","64,213.7"
Basic chemicals ,"20,765.4","20,880.2","21,004.2","20,535.9","20,578.4","20,566.8","20,596.0","21,172.3","23,458.3","20,611.9","24,366.7","24,036.6","23,177.2","23,303.6","23,215.3","25,908.0"
Other chemicals,"17,138.8","17,444.3","17,777.0","16,535.3","16,646.3","16,615.9","16,692.3","18,232.1","15,723.7","14,264.1","16,620.3","16,918.2","16,242.7","15,545.9","16,938.8","17,229.2"
Pharmaceutical products etc.,"13,790.4","14,381.6","14,387.0","15,972.2","16,811.6","18,799.3","19,812.1","20,702.8","22,385.4","21,095.9","20,850.0","21,380.0","21,854.0","21,541.1","22,504.0","21,076.5"
Non-metallic mineral products,"18,299.9","16,671.9","15,566.7","14,648.1","14,830.2","14,306.2","15,361.4","16,235.0","15,487.1","13,374.5","14,253.0","15,168.3","15,138.4","15,226.0","15,989.2","15,446.9"
Cement,"7,994.6","7,196.1","6,257.5","5,966.1","5,684.2","5,521.1","6,032.6","5,928.4","5,499.9","5,563.4","5,235.3","5,772.6","5,676.1","5,837.9","6,052.1","6,054.2"
Ceramics & other NMM,"4,786.2","4,152.8","4,652.3","4,405.8","5,025.2","4,754.9","5,071.4","5,947.2","5,839.9","4,388.9","5,336.5","5,589.2","5,888.7","5,863.2","6,221.6","5,737.0"
Glass production ,"5,519.1","5,323.0","4,656.8","4,276.3","4,120.8","4,030.1","4,257.4","4,359.4","4,147.2","3,422.2","3,681.3","3,806.5","3,573.7","3,524.9","3,715.5","3,655.8"
"Pulp, paper and printing","23,359.6","22,903.4","21,904.1","19,833.2","20,448.8","20,564.6","20,823.6","20,705.9","19,664.6","17,798.7","18,030.0","17,875.6","18,325.0","17,491.0","17,269.1","17,209.3"
Pulp production,221.4,220.5,217.1,224.0,217.6,232.7,233.5,236.9,221.3,198.3,201.6,218.6,228.4,221.0,284.4,320.1
Paper production ,"10,533.9","10,867.0","10,856.0","10,236.3","10,279.0","10,156.3","10,436.4","10,670.8","10,069.1","9,474.4","9,396.4","9,453.9","9,928.3","9,659.4","9,848.6","9,962.5"
Printing and media reproduction,"12,604.4","11,815.9","10,831.0","9,372.8","9,952.3","10,175.7","10,153.7","9,798.2","9,374.2","8,126.0","8,432.0","8,203.0","8,168.3","7,610.6","7,136.0","6,926.7"
" Food, beverages and tobacco","39,891.5","39,911.3","39,867.6","39,718.4","39,791.4","38,399.2","38,768.0","38,872.5","37,559.6","36,918.1","38,110.0","37,942.5","38,637.4","38,906.8","39,288.0","41,216.8"
 Transport Equipment,"70,926.2","81,220.9","81,393.7","84,758.8","83,017.1","83,546.0","92,449.1","98,907.2","88,304.4","69,175.9","96,645.0","108,276.3","109,585.0","109,437.7","121,506.6","127,933.5"
 Machinery Equipment,"182,005.9","175,858.7","170,430.9","171,728.7","179,481.8","181,187.1","196,618.2","209,016.4","209,579.1","164,548.9","192,114.0","209,190.3","206,975.0","205,972.8","211,614.7","212,054.2"
 Textiles and leather,"10,006.6","9,461.6","8,853.2","8,361.7","8,280.8","7,894.1","8,033.7","8,061.5","7,668.4","6,243.3","6,958.0","7,464.3","7,119.4","6,947.1","7,319.9","6,768.8"
 Wood and wood products,"8,119.0","7,267.7","6,918.2","6,554.8","6,944.4","6,607.5","6,951.3","7,103.5","6,253.9","5,316.1","6,177.0","6,374.1","6,006.2","6,006.3","5,980.0","6,636.6"
 Other Industrial Sectors,"41,350.4","41,491.7","40,511.5","40,427.2","41,094.1","41,610.0","44,429.4","45,068.7","44,815.2","39,426.3","44,276.0","47,896.3","47,162.8","46,352.0","47,261.9","48,704.3"
,,,,,,,,,,,,,,,,
Energy consumption (ktoe),,,,,,,,,,,,,,,,
by fuel (EUROSTAT DATA),"57,569.9","56,556.4","56,572.3","59,174.3","59,262.3","59,093.2","59,889.2","62,399.8","61,416.7","53,702.5","60,562.2","60,836.9","60,586.3","60,737.7","60,715.0","60,951.1"
Solids,"9,688.4","9,000.4","8,963.7","9,977.9","8,481.2","7,542.0","8,279.7","8,153.1","7,847.5","6,449.8","8,314.1","8,522.9","8,769.4","8,933.0","9,099.5","9,613.4"
Hard coal and others,"4,736.8","4,454.5","4,472.3","5,892.7","5,541.4","4,841.2","5,133.4","5,003.8","5,058.6","3,964.0","5,592.4","5,903.0","6,263.3","6,797.7","7,000.5","7,553.9"
