DE: Machinery Equipment / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Machinery Equipment,"3,135.2","3,173.8","3,166.1","4,430.9","4,864.0","4,835.9","4,905.2","4,930.6","5,984.1","5,163.0","5,551.6","5,689.0","5,731.5","5,878.0","5,683.8","5,130.4"
Lighting,90.4,91.5,91.3,127.7,140.2,139.4,141.4,142.1,172.5,148.8,160.0,164.0,165.2,169.4,163.8,147.9
Air compressors,122.9,124.4,124.1,173.7,190.7,189.6,192.3,193.3,234.6,202.4,217.6,223.0,224.7,230.4,222.8,201.1
Motor drives,151.8,153.7,153.3,214.5,235.5,234.2,237.5,238.7,289.7,250.0,268.8,275.5,277.5,284.6,275.2,248.4
Fans and pumps,94.0,95.1,94.9,132.8,145.8,145.0,147.0,147.8,179.4,154.8,166.4,170.5,171.8,176.2,170.4,153.8
Low enthalpy heat,97.6,98.8,98.6,137.9,151.4,150.5,152.7,153.5,186.3,160.7,172.8,177.1,178.4,183.0,176.9,159.7
Diesel oil (incl. biofuels),19.5,19.8,19.7,27.6,30.3,30.1,30.5,30.7,37.3,32.1,34.6,35.4,35.7,36.6,35.4,31.9
Natural gas (incl. biogas),29.3,29.6,29.6,41.4,45.4,45.2,45.8,46.0,55.9,48.2,51.8,53.1,53.5,54.9,53.1,47.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,48.8,49.4,49.3,69.0,75.7,75.3,76.3,76.7,93.1,80.4,86.4,88.5,89.2,91.5,88.5,79.8
Mach. Eq.: Foundries,604.9,612.3,610.9,854.9,938.4,933.0,946.4,951.3,"1,154.6",996.1,"1,071.1","1,097.6","1,105.8","1,134.1","1,096.6",989.8
Mach. Eq.: Thermal Foundries,508.0,506.9,507.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,21.6,22.2,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),126.6,125.9,145.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),359.9,358.8,339.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mach. Eq.: Electric Foundries,96.9,105.5,103.8,854.9,938.4,933.0,946.4,951.3,1154.6,996.1,1071.1,1097.6,1105.8,1134.1,1096.6,989.8
Mach. Eq.: Connection techniques,293.8,297.4,296.7,415.2,455.8,453.2,459.7,462.1,560.8,483.8,520.3,533.1,537.1,550.8,532.6,480.8
Mach. Eq.: Thermal connection,235.0,237.9,237.4,332.2,364.7,362.5,367.7,369.6,448.6,387.1,416.2,426.5,429.7,440.7,426.1,384.6
Mach. Eq.: Electric connection,58.8,59.5,59.3,83.0,91.2,90.6,91.9,92.4,112.2,96.8,104.1,106.6,107.4,110.2,106.5,96.2
Mach. Eq.: Heat treatment,864.1,874.8,872.7,"1,221.3","1,340.6","1,332.9","1,352.0","1,359.0","1,649.4","1,423.0","1,530.2","1,568.0","1,579.7","1,620.1","1,566.6","1,414.1"
Mach. Eq.: Heat treatment - Thermal,864.1,874.8,872.7,1091.2,1197.9,1191.0,1208.1,1214.3,1473.8,1271.5,1367.2,1401.1,1411.5,1447.6,1223.8,1260.5
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,36.7,38.2,37.5,133.7,29.7,23.1,95.5,104.6,59.4,64.9,58.3,61.6,46.2,44.0,35.1,35.8
Diesel oil (incl. biofuels),215.3,217.3,250.8,356.1,275.0,273.3,220.5,247.0,326.7,399.8,339.7,293.9,280.7,253.0,196.7,139.3
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),612.1,619.2,584.3,601.4,893.2,894.6,892.1,862.7,"1,087.7",806.8,969.2,"1,045.6","1,084.7","1,150.7",991.9,"1,085.5"
Mach. Eq.: Heat treatment - Electric,0.0,0.0,0.0,130.0,142.7,141.9,143.9,144.7,175.6,151.5,162.9,166.9,168.2,172.5,342.8,153.5
Mach. Eq.: Steam processing,599.1,597.8,604.2,825.6,"1,132.3","1,118.3","1,065.8",986.2,826.1,911.4,852.0,646.4,666.7,699.4,566.0,531.7
Solids,37.5,39.3,31.8,22.5,19.1,19.1,28.4,25.3,27.1,19.9,17.0,17.0,15.5,12.8,14.5,8.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),122.2,121.6,140.1,120.4,170.9,166.7,170.6,162.2,110.9,190.1,124.9,63.7,60.9,54.4,40.0,27.9
Residual fuel oil,21.0,26.8,42.0,10.5,12.4,7.6,5.7,7.6,2.9,2.9,2.9,1.9,1.9,1.9,1.0,1.0
Other liquids,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,3.8,1.5,1.7,1.9,1.9,1.9,1.8
Natural gas (incl. biogas),350.3,349.3,332.0,208.5,546.9,536.9,665.3,552.8,360.2,390.5,352.5,218.9,225.6,233.3,185.3,190.1
Derived gases,68.0,60.7,58.3,2.1,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,15.5,13.2,14.7
Biomass,0.0,0.0,0.0,2.9,3.4,5.8,7.8,9.4,23.7,27.1,39.6,28.6,32.6,95.1,47.2,51.2
Steam distributed,0.0,0.0,0.0,457.8,377.7,381.7,188.0,228.9,300.5,277.1,313.7,314.7,314.0,284.5,262.9,237.1
Mach. Eq.: General machinery,69.1,70.0,69.8,97.7,107.3,106.6,108.2,108.7,131.9,113.8,122.4,125.4,126.4,129.6,125.3,113.1
Mach. Eq.: Product finishing,147.5,158.0,149.7,229.5,26.0,33.3,102.4,187.9,598.9,318.1,470.1,708.4,698.2,700.4,787.6,690.0
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Machinery Equipment,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%
Air compressors,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%
Motor drives,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%,4.84%
Fans and pumps,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%
Low enthalpy heat,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%,3.11%
Mach. Eq.: Foundries,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%
Mach. Eq.: Thermal Foundries,16.20%,15.97%,16.02%,-,-,-,-,-,-,-,-,-,-,-,-,-
Mach. Eq.: Electric Foundries,3.09%,3.32%,3.28%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%,19.29%
Mach. Eq.: Connection techniques,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%,9.37%
Mach. Eq.: Thermal connection,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%
Mach. Eq.: Electric connection,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%,1.87%
Mach. Eq.: Heat treatment,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%,27.56%
Mach. Eq.: Heat treatment - Thermal,27.56%,27.56%,27.56%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,24.63%,21.53%,24.57%
Mach. Eq.: Heat treatment - Electric,-,-,-,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,2.93%,6.03%,2.99%
Mach. Eq.: Steam processing,19.11%,18.83%,19.08%,18.63%,23.28%,23.12%,21.73%,20.00%,13.81%,17.65%,15.35%,11.36%,11.63%,11.90%,9.96%,10.36%
Mach. Eq.: General machinery,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%
Mach. Eq.: Product finishing,4.70%,4.98%,4.73%,5.18%,0.53%,0.69%,2.09%,3.81%,10.01%,6.16%,8.47%,12.45%,12.18%,11.92%,13.86%,13.45%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Machinery Equipment,37.665,37.675,37.733,35.243,34.351,34.057,33.674,33.776,33.049,32.877,32.957,32.687,32.150,31.690,31.556,31.114
Lighting,1.086,1.086,1.088,1.016,0.990,0.982,0.971,0.973,0.953,0.948,0.950,0.942,0.927,0.913,0.909,0.897
Air compressors,1.476,1.477,1.479,1.381,1.346,1.335,1.320,1.324,1.295,1.289,1.292,1.281,1.260,1.242,1.237,1.220
Motor drives,1.824,1.824,1.827,1.706,1.663,1.649,1.630,1.635,1.600,1.592,1.596,1.583,1.557,1.534,1.528,1.507
Fans and pumps,1.129,1.129,1.131,1.056,1.030,1.021,1.009,1.012,0.991,0.985,0.988,0.980,0.964,0.950,0.946,0.933
Low enthalpy heat,1.172,1.173,1.175,1.097,1.069,1.060,1.048,1.051,1.029,1.023,1.026,1.017,1.001,0.986,0.982,0.968
Mach. Eq.: Foundries,7.267,7.269,7.280,6.800,6.628,6.571,6.497,6.517,6.376,6.343,6.359,6.307,6.203,6.114,6.088,6.003
Mach. Eq.: Connection techniques,3.530,3.531,3.536,3.303,3.219,3.192,3.156,3.165,3.097,3.081,3.088,3.063,3.013,2.970,2.957,2.916
Mach. Eq.: Heat treatment,10.381,10.384,10.400,9.714,9.468,9.387,9.281,9.309,9.109,9.062,9.084,9.009,8.861,8.734,8.698,8.576
Mach. Eq.: Steam processing,7.198,7.096,7.201,6.567,7.997,7.876,7.316,6.756,4.563,5.804,5.058,3.714,3.740,3.771,3.142,3.225
Mach. Eq.: General machinery,0.831,0.831,0.832,0.777,0.757,0.751,0.743,0.745,0.729,0.725,0.727,0.721,0.709,0.699,0.696,0.686
Mach. Eq.: Product finishing,1.772,1.876,1.785,1.826,0.183,0.235,0.703,1.287,3.308,2.026,2.790,4.070,3.916,3.776,4.373,4.185
