DE: Non Ferrous Metals / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alumina production,230.8,251.4,247.0,273.7,344.8,377.8,379.5,375.3,388.7,316.5,416.3,365.0,352.8,340.7,364.3,426.4
Lighting,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.6,0.6
Air compressors,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3
Motor drives,4.4,4.8,4.7,5.3,6.6,7.3,7.3,7.2,7.5,6.1,8.0,7.0,6.8,6.5,7.0,8.2
Fans and pumps,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Low enthalpy heat,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4
Diesel oil (incl. biofuels),0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Natural gas (incl. biogas),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alumina production: High enthalpy heat,92.3,100.5,98.8,109.5,137.9,151.1,151.7,150.1,155.5,126.6,166.5,146.0,141.1,136.3,145.7,170.5
Solids,36.0,39.4,38.5,37.8,40.9,41.6,15.0,15.9,13.7,13.2,13.9,16.0,15.9,17.4,17.4,18.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),3.7,3.3,2.9,1.6,1.6,2.0,5.5,5.0,3.7,2.4,3.1,3.4,2.8,4.1,2.0,1.9
Residual fuel oil,10.4,12.2,13.2,1.9,12.6,12.5,12.7,11.7,15.2,12.1,13.0,2.6,8.3,7.8,12.8,16.1
Other liquids,0.0,0.0,0.0,38.0,47.6,51.9,5.4,5.8,45.5,34.2,22.5,20.5,6.1,4.6,3.8,15.9
Natural gas (incl. biogas),39.0,42.1,41.0,22.8,24.5,35.3,104.0,103.4,67.9,51.1,74.9,91.7,97.0,90.6,99.8,100.3
Derived gases,0.7,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,2.2,1.6,1.8,2.1,2.6,3.7,3.8,4.2,3.8,3.4,3.1,3.5,3.4
Steam distributed,2.6,2.7,2.7,5.2,9.0,6.0,7.1,5.7,5.8,9.8,34.8,8.0,7.6,8.6,6.4,14.9
Alumina production: Refining,133.2,145.1,142.5,158.0,199.0,218.0,219.0,216.6,224.3,182.6,240.2,210.7,203.6,196.6,210.2,246.1
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),5.7,6.2,6.1,6.7,8.5,9.3,9.3,9.2,9.5,7.8,10.2,9.0,8.7,8.4,8.9,10.5
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),107.6,117.2,115.1,127.6,160.7,176.0,176.8,174.9,181.2,147.5,194.0,170.1,164.4,158.8,169.8,198.7
Electricity,20.0,21.8,21.4,23.7,29.8,32.7,32.8,32.5,33.7,27.4,36.0,31.6,30.5,29.5,31.5,36.9
,,,,,,,,,,,,,,,,
Aluminium - primary production,911.3,938.6,917.4,931.5,915.0,918.1,674.5,720.4,816.4,386.9,550.4,548.2,517.9,601.8,648.0,745.4
Lighting,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.9,0.4,0.6,0.6,0.6,0.7,0.7,0.8
Air compressors,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.4
Motor drives,13.8,14.2,13.9,14.1,13.8,13.9,10.2,10.9,12.3,5.8,8.3,8.3,7.8,9.1,9.8,11.3
Fans and pumps,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Low enthalpy heat,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.6,0.3,0.4,0.4,0.4,0.4,0.5,0.6
Diesel oil (incl. biofuels),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Natural gas (incl. biogas),0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Aluminium electrolysis (smelting),747.4,769.7,752.4,764.0,750.4,753.0,553.1,590.8,669.6,317.3,451.4,449.6,424.8,493.6,531.4,611.3
"Aluminium processing  (metallurgy e.g. cast house, reheating)",91.1,93.9,91.8,93.2,91.5,91.8,67.5,72.1,81.7,38.7,55.0,54.8,51.8,60.2,64.8,74.5
Aluminium processing - Thermal,41.2,40.8,39.7,49.1,43.7,45.5,20.1,17.2,24.3,14.7,19.4,18.1,17.0,24.9,23.9,21.2
LPG,2.0,2.1,1.9,0.8,0.7,0.7,0.4,0.5,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Diesel oil (incl. biofuels),3.7,3.1,2.6,3.4,2.9,2.6,1.0,0.8,1.3,0.7,0.7,0.6,0.3,1.0,0.2,0.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),35.5,35.6,35.1,44.9,40.1,42.3,18.7,15.9,22.7,13.9,18.5,17.3,16.5,23.8,23.6,21.0
Aluminium processing - Electric,49.9,53.0,52.1,44.1,47.8,46.3,47.3,54.8,57.3,24.0,35.7,36.8,34.8,35.3,40.9,53.4
Aluminium finishing,56.5,58.2,56.9,57.8,56.8,57.0,41.8,44.7,50.7,24.0,34.2,34.0,32.1,37.3,40.2,46.2
