DE: Non-metallic mineral products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cement,"2,726.9","2,466.2","2,367.7","2,451.2","2,431.0","2,324.0","2,421.3","2,478.7","2,273.8","2,080.3","1,981.6","2,172.2","2,099.2","2,025.2","1,987.0","2,041.9"
Lighting,14.4,13.0,12.5,12.9,12.8,12.2,12.8,13.1,12.0,11.0,10.4,11.4,11.1,10.7,10.5,10.8
Air compressors,5.7,5.2,5.0,5.2,5.1,4.9,5.1,5.2,4.8,4.4,4.2,4.6,4.4,4.3,4.2,4.3
Motor drives,24.4,22.1,21.2,22.0,21.8,20.8,21.7,22.2,20.4,18.6,17.7,19.5,18.8,18.1,17.8,18.3
Fans and pumps,2.9,2.6,2.5,2.6,2.6,2.4,2.6,2.6,2.4,2.2,2.1,2.3,2.2,2.1,2.1,2.2
Low enthalpy heat,8.6,7.8,7.5,7.7,7.7,7.3,7.7,7.8,7.2,6.6,6.3,6.9,6.6,6.4,6.3,6.5
Diesel oil (incl. biofuels),1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.4,1.3,1.3,1.4,1.3,1.3,1.3,1.3
Natural gas (incl. biogas),2.6,2.3,2.2,2.3,2.3,2.2,2.3,2.4,2.2,2.0,1.9,2.1,2.0,1.9,1.9,1.9
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,4.3,3.9,3.7,3.9,3.8,3.7,3.8,3.9,3.6,3.3,3.1,3.4,3.3,3.2,3.1,3.2
"Cement: Grinding, milling of raw material",84.4,76.4,73.3,75.9,75.3,72.0,75.0,76.8,70.4,64.4,61.4,67.3,65.0,62.7,61.5,63.2
Cement: Pre-heating and pre-calcination,954.8,863.5,829.0,858.2,851.2,813.7,847.7,867.9,796.1,728.4,693.8,760.6,735.0,709.1,695.7,714.9
Cement: pre-processing - Fuel use,894.8,809.3,776.9,804.4,797.7,762.6,794.5,813.4,746.1,682.6,650.3,712.8,688.9,664.6,652.0,670.1
Solids,687.7,625.9,565.2,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,207.1,183.4,211.7,235.0,296.4,305.1,241.5,272.1,235.0,198.1,173.0,170.2,193.2,216.9,224.4,237.4
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,479.7,501.3,457.5,553.0,541.3,511.1,484.6,477.2,542.7,495.7,447.7,427.6,432.7
Cement: pre-processing - Steam,59.9,54.2,52.0,53.9,53.4,51.1,53.2,54.5,50.0,45.7,43.5,47.7,46.1,44.5,43.7,44.9
Solids,22.9,17.1,17.3,51.5,42.4,50.5,53.2,54.5,50.0,45.7,41.0,46.6,45.0,44.5,43.7,44.9
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derived gases,33.4,29.6,28.4,0.6,0.6,0.6,0.0,0.0,0.0,0.0,2.6,1.1,1.1,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,3.7,7.5,6.4,1.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cement: Clinker production (kilns),"1,552.7","1,404.2","1,348.1","1,395.7","1,384.2","1,323.2","1,378.7","1,411.3","1,294.7","1,184.5","1,128.3","1,236.9","1,195.3","1,153.2","1,131.4","1,162.7"
Solids,"1,165.6",904.2,849.5,"1,395.7","1,278.6","1,014.2","1,185.6",920.2,871.0,714.9,695.6,792.0,691.7,404.7,351.2,396.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,387.0,481.7,498.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,105.6,309.1,193.1,491.1,423.7,469.6,432.7,444.8,503.6,748.5,780.2,766.7
"Cement: Grinding, packaging",79.0,71.4,68.6,71.0,70.4,67.3,70.1,71.8,65.9,60.3,57.4,62.9,60.8,58.7,57.6,59.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ceramics & other NMM,"1,408.0","1,227.4","1,453.8","1,498.1","1,722.5","1,615.5","1,680.5","1,978.0","1,941.3","1,794.2","1,979.2","2,035.7","1,945.1","2,038.6","2,118.6","2,003.2"
Lighting,7.5,6.5,7.7,8.0,9.2,8.6,8.9,10.5,10.3,9.5,10.5,10.8,10.4,10.8,11.3,10.7
Air compressors,7.7,6.7,8.0,8.2,9.4,8.8,9.2,10.8,10.6,9.8,10.8,11.1,10.6,11.1,11.6,11.0
Motor drives,10.7,9.3,11.0,11.4,13.1,12.2,12.7,15.0,14.7,13.6,15.0,15.4,14.7,15.5,16.1,15.2
Fans and pumps,5.5,4.8,5.7,5.8,6.7,6.3,6.5,7.7,7.6,7.0,7.7,7.9,7.6,7.9,8.3,7.8
