"DE: Pulp, paper and printing / final energy consumption",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pulp production,490.6,478.4,472.5,547.4,592.8,708.7,675.1,736.0,663.5,632.5,683.3,658.5,634.1,633.5,643.5,599.8
Lighting,2.8,2.7,2.7,3.1,3.4,4.0,3.9,4.2,3.8,3.6,3.9,3.8,3.6,3.6,3.7,3.4
Air compressors,3.9,3.8,3.8,4.4,4.7,5.7,5.4,5.9,5.3,5.1,5.5,5.3,5.1,5.1,5.1,4.8
Motor drives,22.4,21.8,21.6,25.0,27.1,32.4,30.8,33.6,30.3,28.9,31.2,30.1,29.0,28.9,29.4,27.4
Fans and pumps,11.2,10.9,10.8,12.5,13.5,16.2,15.4,16.8,15.1,14.4,15.6,15.0,14.5,14.5,14.7,13.7
Low enthalpy heat,6.7,6.6,6.5,7.5,8.1,9.7,9.2,10.1,9.1,8.7,9.4,9.0,8.7,8.7,8.8,8.2
Diesel oil (incl. biofuels),0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Natural gas (incl. biogas),3.4,3.3,3.2,3.3,3.7,4.8,4.4,5.2,4.7,4.3,4.8,4.5,4.3,4.4,4.6,4.4
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,3.1,3.1,3.1,3.9,4.3,4.7,4.6,4.7,4.3,4.2,4.4,4.4,4.3,4.2,4.1,3.8
"Pulp: Wood preparation, grinding",16.6,16.4,16.3,18.3,19.9,23.2,21.9,23.6,21.2,20.3,21.5,20.9,20.3,19.9,20.0,18.7
Pulp: Pulping,390.1,379.7,374.6,435.9,471.9,566.1,539.7,589.5,531.4,506.6,548.5,528.1,507.8,508.7,517.2,481.9
Pulp: Pulping thermal,170.3,162.3,158.3,193.2,208.5,258.8,248.9,277.1,249.9,238.1,263.6,251.7,238.3,245.3,251.6,233.7
Solids,146.1,140.8,137.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derived gases,24.1,21.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,193.2,208.5,258.8,248.9,277.1,249.9,238.1,263.6,251.7,238.3,245.3,251.6,233.7
Steam distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulp: Pulping electric,219.9,217.4,216.3,242.7,263.4,307.2,290.8,312.4,281.5,268.5,285.0,276.4,269.5,263.4,265.7,248.2
Pulp: Cleaning,36.9,36.4,36.3,40.7,44.2,51.5,48.7,52.4,47.2,45.0,47.8,46.3,45.2,44.2,44.5,41.6
,,,,,,,,,,,,,,,,
Paper production,"3,788.9","3,826.2","3,754.0","4,041.7","4,612.1","5,156.7","5,008.9","5,376.8","5,011.6","4,991.7","5,334.7","5,129.5","4,938.4","4,938.0","4,923.9","4,836.3"
Lighting,20.1,20.3,19.9,21.4,24.4,27.3,26.5,28.5,26.5,26.4,28.2,27.2,26.1,26.1,26.1,25.6
Air compressors,28.5,28.7,28.2,30.4,34.6,38.7,37.6,40.4,37.6,37.5,40.1,38.5,37.1,37.1,37.0,36.3
Motor drives,101.3,102.3,100.3,108.0,123.3,137.8,133.9,143.7,134.0,133.4,142.6,137.1,132.0,132.0,131.6,129.3
Fans and pumps,80.2,81.0,79.5,85.6,97.7,109.2,106.1,113.8,106.1,105.7,113.0,108.6,104.6,104.6,104.3,102.4
Low enthalpy heat,48.1,48.6,47.7,51.3,58.6,65.5,63.6,68.3,63.7,63.4,67.8,65.2,62.7,62.7,62.6,61.4
Diesel oil (incl. biofuels),1.1,1.2,1.1,2.1,1.4,1.2,1.3,1.1,1.0,1.1,1.1,1.0,0.7,0.6,0.5,0.4
Natural gas (incl. biogas),24.7,24.6,23.8,22.3,26.5,32.3,30.6,35.5,32.8,31.4,34.8,32.4,31.1,32.0,32.9,32.5
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,22.3,22.9,22.8,26.9,30.7,31.9,31.8,31.7,29.8,30.9,31.9,31.8,31.0,30.1,29.2,28.5
Paper: Stock preparation,378.7,397.3,397.9,392.1,450.3,468.4,446.2,457.9,426.5,425.4,429.8,422.2,422.5,394.2,383.9,380.1
Paper: Stock preparation - Thermal,71.7,70.7,68.5,77.7,88.4,102.6,100.6,110.3,102.9,102.4,112.1,106.8,101.1,104.2,104.9,102.7
Solids,5.8,4.7,4.5,11.7,11.0,11.7,10.9,9.0,10.7,10.7,10.9,10.1,10.0,10.3,10.4,10.3
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,1.5,1.7,1.5,1.8,0.7,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.5
Diesel oil (incl. biofuels),2.7,2.8,2.5,4.2,2.8,2.5,2.5,2.2,2.0,2.0,2.0,1.8,1.3,1.1,0.8,0.8
Residual fuel oil,1.9,1.7,2.5,1.4,1.8,1.7,1.6,1.7,1.8,0.9,0.6,0.2,0.2,0.4,0.2,0.2
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),58.4,58.4,56.1,44.4,52.6,65.8,59.3,71.4,64.5,58.9,64.1,58.9,57.6,57.5,59.8,59.0
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,8.4,12.5,12.1,15.1,14.4,11.2,18.5,22.1,17.0,11.2,12.6,13.5,12.6
