DE: Textiles and leather / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Textiles and leather,929.9,915.3,866.8,863.6,776.1,758.7,711.9,698.6,600.3,503.4,590.0,574.3,574.7,493.9,471.0,515.1
Lighting,36.2,35.6,33.7,33.6,30.2,29.5,27.7,27.2,23.4,19.6,23.0,22.3,22.4,19.2,18.3,20.0
Air compressors,29.7,29.2,27.7,27.6,24.8,24.2,22.7,22.3,19.2,16.1,18.8,18.3,18.3,15.8,15.0,16.4
Motor drives,21.3,21.0,19.9,19.8,17.8,17.4,16.3,16.0,13.8,11.6,13.5,13.2,13.2,11.3,10.8,11.8
Fans and pumps,41.8,41.1,38.9,38.8,34.8,34.1,32.0,31.4,27.0,22.6,26.5,25.8,25.8,22.2,21.1,23.1
Low enthalpy heat,70.5,69.4,65.7,65.5,58.9,57.5,54.0,53.0,45.5,38.2,44.7,43.6,43.6,37.5,35.7,39.1
Diesel oil (incl. biofuels),14.1,13.9,13.1,13.1,11.8,11.5,10.8,10.6,9.1,7.6,8.9,8.7,8.7,7.5,7.1,7.8
Natural gas (incl. biogas),21.2,20.8,19.7,19.6,17.7,17.3,16.2,15.9,13.7,11.5,13.4,13.1,13.1,11.2,10.7,11.7
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,35.3,34.7,32.9,32.7,29.4,28.8,27.0,26.5,22.8,19.1,22.4,21.8,21.8,18.7,17.9,19.5
Textiles: Pretreatment with steam,27.9,27.5,26.0,25.9,23.3,22.8,21.4,21.0,18.0,15.1,17.7,17.2,17.3,14.8,14.1,15.5
Solids,2.2,2.3,1.3,2.0,2.6,1.5,1.9,1.6,1.4,1.1,0.9,0.6,0.4,0.7,0.6,0.5
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),4.2,4.1,4.1,3.3,2.5,2.6,2.1,2.8,1.6,1.6,1.1,1.0,0.8,1.1,0.8,0.7
Residual fuel oil,2.1,2.1,1.7,1.3,1.3,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.5,0.3,0.2
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),18.8,18.4,18.4,16.6,14.5,15.5,13.0,13.8,12.3,10.4,9.3,9.4,7.6,10.7,10.7,8.9
Derived gases,0.6,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.8,0.1,0.1,1.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Steam distributed,0.0,0.0,0.0,2.0,2.3,1.9,1.9,1.7,1.7,1.1,5.4,5.4,7.6,1.6,1.5,4.9
Textiles: Wet processing with steam,237.3,233.5,221.2,220.4,198.0,193.6,181.6,178.2,153.2,128.4,150.5,146.5,146.6,126.0,120.2,131.4
Solids,18.3,19.7,11.0,16.7,21.7,13.2,16.2,13.6,11.6,9.1,7.8,4.8,3.8,6.0,4.9,4.6
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),36.0,35.1,34.6,27.8,21.5,22.4,17.5,24.2,13.9,13.7,9.6,8.5,7.2,9.1,7.1,6.1
Residual fuel oil,17.6,17.6,14.6,10.9,11.0,8.8,8.0,7.3,7.4,6.6,6.6,5.9,5.1,4.4,2.9,1.5
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),160.0,156.4,156.3,141.2,123.1,131.6,110.5,117.2,104.3,88.3,78.8,79.8,64.4,91.0,91.2,75.5
Derived gases,5.5,4.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,7.0,1.0,1.1,12.9,1.5,1.5,1.5,1.6,1.3,1.6,1.5,1.7,1.8
Steam distributed,0.0,0.0,0.0,16.6,19.8,16.5,16.5,14.3,14.5,9.3,46.1,46.3,64.6,14.0,12.4,42.0
Textiles: Electric general machinery,133.0,142.0,144.5,89.5,91.2,100.3,84.7,98.1,79.9,71.3,70.8,74.7,67.0,68.5,68.3,66.9
Textiles: Drying,290.0,270.8,243.3,314.1,268.1,247.4,244.5,220.2,195.0,157.9,201.9,188.8,199.3,156.9,145.6,169.6
Textiles: Thermal drying,215.4,194.8,169.1,252.4,210.3,188.3,191.3,164.6,148.2,117.7,157.6,144.4,156.6,117.7,107.6,129.7
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,3.3,3.3,3.3,36.4,3.3,3.3,3.3,1.1,1.1,1.1,1.1,1.1,2.2,2.2,1.1,1.1
Diesel oil (incl. biofuels),33.2,29.4,24.6,29.5,24.8,20.9,19.7,23.3,11.7,11.4,11.3,7.8,9.6,5.3,2.3,3.7
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),178.9,162.1,141.2,186.5,182.2,164.1,168.3,140.2,135.4,105.2,145.3,135.5,144.8,110.3,104.3,125.0
Textiles: Steam drying,44.7,44.0,41.6,41.5,37.3,36.4,34.2,33.6,28.8,24.2,28.3,27.6,27.6,23.7,22.6,24.7
Solids,3.4,3.7,2.1,3.1,4.1,2.5,3.1,2.6,2.2,1.7,1.5,0.9,0.7,1.1,0.9,0.9
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),6.8,6.6,6.5,5.2,4.1,4.2,3.3,4.6,2.6,2.6,1.8,1.6,1.4,1.7,1.3,1.1
Residual fuel oil,3.3,3.3,2.8,2.1,2.1,1.7,1.5,1.4,1.4,1.2,1.2,1.1,1.0,0.8,0.6,0.3
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),30.1,29.4,29.4,26.6,23.2,24.8,20.8,22.1,19.6,16.6,14.8,15.0,12.1,17.1,17.2,14.2
Derived gases,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,1.3,0.2,0.2,2.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Steam distributed,0.0,0.0,0.0,3.1,3.7,3.1,3.1,2.7,2.7,1.7,8.7,8.7,12.2,2.6,2.3,7.9
Textiles: Electric drying,30.0,32.0,32.6,20.2,20.5,22.6,19.1,22.1,18.0,16.1,15.9,16.8,15.1,15.4,15.4,15.1
Textiles: Microwave drying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Textiles: Finishing Electric,42.3,45.1,45.9,28.5,29.0,31.9,26.9,31.2,25.4,22.7,22.5,23.8,21.3,21.8,21.7,21.3
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Textiles and leather,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%
Air compressors,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%,3.19%
Motor drives,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%,2.29%
Fans and pumps,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%,4.49%
Low enthalpy heat,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%,7.58%
Textiles: Pretreatment with steam,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%
Textiles: Wet processing with steam,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%,25.52%
Textiles: Electric general machinery,14.30%,15.51%,16.67%,10.37%,11.75%,13.22%,11.90%,14.04%,13.31%,14.16%,11.99%,13.02%,11.65%,13.86%,14.50%,12.99%
Textiles: Drying,31.18%,29.58%,28.07%,36.37%,34.55%,32.60%,34.35%,31.53%,32.48%,31.37%,34.22%,32.88%,34.68%,31.77%,30.92%,32.92%
Textiles: Thermal drying,23.16%,21.28%,19.51%,29.23%,27.10%,24.82%,26.87%,23.56%,24.68%,23.38%,26.72%,25.14%,27.25%,23.84%,22.85%,25.19%
Textiles: Steam drying,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%,4.80%
Textiles: Electric drying,3.22%,3.50%,3.76%,2.34%,2.65%,2.98%,2.68%,3.16%,3.00%,3.19%,2.70%,2.93%,2.63%,3.12%,3.27%,2.93%
Textiles: Microwave drying,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Textiles: Finishing Electric,4.55%,4.93%,5.30%,3.30%,3.73%,4.20%,3.78%,4.46%,4.23%,4.50%,3.81%,4.14%,3.70%,4.41%,4.61%,4.13%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Textiles and leather,81.13,80.66,80.00,82.82,82.05,81.22,82.10,79.46,79.62,79.35,77.50,73.15,73.49,71.07,70.75,68.75
Lighting,3.16,3.14,3.11,3.22,3.19,3.16,3.19,3.09,3.10,3.09,3.02,2.85,2.86,2.77,2.75,2.68
Air compressors,2.59,2.58,2.55,2.64,2.62,2.59,2.62,2.54,2.54,2.53,2.47,2.34,2.35,2.27,2.26,2.20
Motor drives,1.86,1.85,1.84,1.90,1.88,1.86,1.88,1.82,1.83,1.82,1.78,1.68,1.69,1.63,1.62,1.58
Fans and pumps,3.64,3.62,3.59,3.72,3.68,3.65,3.69,3.57,3.58,3.56,3.48,3.28,3.30,3.19,3.18,3.09
Low enthalpy heat,6.15,6.12,6.07,6.28,6.22,6.16,6.23,6.03,6.04,6.02,5.88,5.55,5.57,5.39,5.36,5.21
Textiles: Pretreatment with steam,2.44,2.42,2.40,2.49,2.46,2.44,2.46,2.39,2.39,2.38,2.33,2.20,2.21,2.13,2.12,2.06
Textiles: Wet processing with steam,20.70,20.58,20.41,21.13,20.93,20.72,20.95,20.27,20.32,20.25,19.78,18.67,18.75,18.13,18.05,17.54
Textiles: Electric general machinery,11.60,12.51,13.33,8.59,9.64,10.74,9.77,11.16,10.60,11.24,9.30,9.52,8.56,9.85,10.26,8.93
Textiles: Drying,25.30,23.86,22.45,30.12,28.35,26.48,28.20,25.05,25.86,24.89,26.52,24.05,25.48,22.58,21.88,22.63
Textiles: Finishing Electric,3.69,3.98,4.24,2.73,3.06,3.41,3.10,3.55,3.37,3.57,2.95,3.03,2.72,3.13,3.26,2.84
