DE: Wood and wood products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wood and wood products,625.3,628.4,608.4,912.7,"1,074.8","1,095.3",804.5,"1,016.8",752.0,"1,002.6","1,274.5","1,465.2","1,365.6","1,473.5","1,852.3","1,791.5"
Lighting,7.7,7.7,7.5,11.2,13.2,13.5,9.9,12.5,9.2,12.3,15.7,18.0,16.8,18.1,22.7,22.0
Air compressors,8.3,8.4,8.1,12.2,14.3,14.6,10.7,13.6,10.0,13.4,17.0,19.6,18.2,19.7,24.7,23.9
Motor drives,20.7,20.8,20.1,30.2,35.6,36.3,26.6,33.7,24.9,33.2,42.2,48.5,45.2,48.8,61.3,59.3
Fans and pumps,63.4,63.7,61.7,92.6,109.0,111.1,81.6,103.1,76.3,101.7,129.3,148.6,138.5,149.5,187.9,181.7
Low enthalpy heat,14.0,14.1,13.6,20.5,24.1,24.6,18.0,22.8,16.9,22.5,28.6,32.9,30.6,33.0,41.5,40.2
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.8,3.0,4.2,0.6,0.7,0.5,0.3,5.7,6.6,6.1,6.6,8.3,8.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,7.2,7.4,0.0,0.0,0.0,0.0,8.6,9.9,9.2,9.9,12.5,12.1
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,14.0,14.1,13.6,19.6,13.8,13.0,17.5,22.1,16.3,22.2,14.3,16.4,15.3,16.5,20.8,20.1
Wood: Specific processes with steam,250.8,242.6,227.9,512.0,625.2,637.2,373.0,548.5,312.5,569.3,741.4,852.4,794.4,857.2,1248.5,1186.2
Solids,3.8,1.1,1.1,0.6,6.2,6.6,3.3,2.2,1.3,1.3,0.9,0.7,0.9,0.2,0.2,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,7.3,7.8,6.7,0.0,0.0,0.0,1.4,0.9,0.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),45.8,39.3,30.0,30.5,31.3,30.3,28.4,33.4,26.4,20.1,21.7,0.0,1.5,0.0,0.0,0.1
Residual fuel oil,41.9,31.4,33.9,16.8,19.4,21.2,25.1,23.7,21.5,17.6,20.3,16.2,13.3,0.9,1.0,0.9
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),133.4,146.4,140.4,196.8,187.7,187.7,185.6,149.9,129.1,113.3,79.4,0.0,11.3,0.0,0.0,1.0
Derived gases,18.6,16.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,239.0,344.6,350.2,90.5,282.2,69.0,329.9,526.7,739.8,662.5,722.3,"1,169.6","1,121.0"
Steam distributed,0.0,0.0,0.0,28.2,36.0,41.2,38.6,56.3,64.4,85.8,92.4,95.7,105.0,133.7,77.7,63.3
Wood: Electric mechanical processes,103.0,107.4,107.1,84.9,87.1,85.5,110.0,104.4,118.8,90.3,75.8,62.7,61.9,53.1,22.5,35.4
Wood: Drying,39.0,40.1,39.2,51.5,65.9,74.4,48.1,58.3,46.9,56.0,137.5,210.4,188.7,233.1,217.0,202.0
Wood: Thermal drying,0.6,1.2,1.2,1.1,7.6,15.2,0.6,1.2,1.2,0.9,70.7,135.7,118.7,158.8,127.4,114.2
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.0
LPG,0.6,1.2,1.2,1.1,2.2,2.2,0.6,1.2,1.2,0.9,1.1,1.1,0.0,1.1,1.1,1.1
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,10.9,10.0,9.9,5.4,3.4
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.8,0.8,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,5.4,13.1,0.0,0.0,0.0,0.0,56.5,120.1,108.8,143.3,119.9,109.7
Wood: Steam drying,29.6,29.7,28.8,43.2,50.9,51.8,38.1,48.1,35.6,47.5,60.3,69.3,64.6,69.7,87.7,84.8
Solids,0.4,0.1,0.1,0.1,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.9,1.0,0.9,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),5.4,4.8,3.8,2.6,2.5,2.5,2.9,2.9,3.0,1.7,1.8,0.0,0.1,0.0,0.0,0.0
Residual fuel oil,4.9,3.9,4.3,1.4,1.6,1.7,2.6,2.1,2.4,1.5,1.7,1.3,1.1,0.1,0.1,0.1
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),15.7,17.9,17.7,16.6,15.3,15.3,19.0,13.1,14.7,9.4,6.5,0.0,0.9,0.0,0.0,0.1
Derived gases,2.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,20.2,28.0,28.5,9.2,24.8,7.9,27.5,42.9,60.2,53.9,58.8,82.1,80.1
Steam distributed,0.0,0.0,0.0,2.4,2.9,3.3,3.9,4.9,7.3,7.2,7.5,7.8,8.5,10.9,5.5,4.5
Wood: Electric drying,8.8,9.2,9.2,7.3,7.4,7.3,9.4,8.9,10.2,7.7,6.5,5.4,5.3,4.5,1.9,3.0
Wood: Microwave drying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood: Finishing Electric,118.4,123.5,123.1,97.6,100.2,98.3,126.5,120.0,136.6,103.9,87.1,72.2,71.2,61.0,25.9,40.7
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wood and wood products,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%
Air compressors,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%
Motor drives,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%
Fans and pumps,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%,10.14%
Low enthalpy heat,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%,2.24%
Wood: Specific processes with steam,40.10%,38.60%,37.46%,56.09%,58.17%,58.17%,46.37%,53.95%,41.55%,56.78%,58.17%,58.17%,58.17%,58.17%,67.41%,66.21%
Wood: Electric mechanical processes,16.47%,17.10%,17.60%,9.30%,8.11%,7.80%,13.67%,10.26%,15.79%,9.01%,5.94%,4.28%,4.53%,3.60%,1.22%,1.98%
Wood: Drying,6.23%,6.38%,6.44%,5.64%,6.13%,6.79%,5.98%,5.73%,6.24%,5.59%,10.79%,14.36%,13.82%,15.82%,11.72%,11.28%
Wood: Thermal drying,0.09%,0.19%,0.20%,0.12%,0.71%,1.39%,0.08%,0.12%,0.15%,0.09%,5.54%,9.26%,8.70%,10.78%,6.88%,6.37%
Wood: Steam drying,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%,4.73%
Wood: Electric drying,1.41%,1.46%,1.50%,0.80%,0.69%,0.67%,1.17%,0.88%,1.35%,0.77%,0.51%,0.37%,0.39%,0.31%,0.10%,0.17%
Wood: Microwave drying,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wood: Finishing Electric,18.94%,19.66%,20.24%,10.70%,9.32%,8.97%,15.72%,11.80%,18.16%,10.36%,6.84%,4.92%,5.21%,4.14%,1.40%,2.27%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wood and wood products,225.97,222.84,222.61,234.30,235.50,234.38,222.01,226.97,217.08,228.53,234.19,233.35,231.68,233.11,229.75,228.86
Lighting,2.77,2.74,2.73,2.88,2.89,2.88,2.73,2.79,2.67,2.81,2.88,2.87,2.85,2.86,2.82,2.81
Air compressors,3.02,2.97,2.97,3.13,3.14,3.13,2.96,3.03,2.90,3.05,3.13,3.11,3.09,3.11,3.07,3.05
Motor drives,7.48,7.38,7.37,7.76,7.80,7.76,7.35,7.51,7.19,7.57,7.75,7.72,7.67,7.72,7.61,7.58
Fans and pumps,22.92,22.61,22.58,23.77,23.89,23.78,22.52,23.03,22.02,23.18,23.76,23.67,23.50,23.65,23.31,23.22
Low enthalpy heat,5.07,5.00,4.99,5.25,5.28,5.26,4.98,5.09,4.87,5.12,5.25,5.23,5.20,5.23,5.15,5.13
Wood: Specific processes with steam,90.62,86.02,83.40,131.42,137.00,136.35,102.93,122.44,90.20,129.76,136.24,135.75,134.78,135.61,154.86,151.53
Wood: Electric mechanical processes,37.21,38.10,39.18,21.80,19.09,18.29,30.35,23.29,34.28,20.59,13.92,9.99,10.51,8.40,2.80,4.53
Wood: Drying,14.09,14.23,14.33,13.23,14.44,15.92,13.28,13.00,13.54,12.78,25.26,33.50,32.01,36.88,26.92,25.81
Wood: Finishing Electric,42.79,43.81,45.05,25.07,21.96,21.03,34.90,26.79,39.42,23.68,16.01,11.49,12.08,9.66,3.21,5.20
