DE - Number of households,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Stock of households,"38,136,234","38,317,671","38,540,012","38,724,361","38,862,308","38,989,059","39,331,104","39,593,509","40,008,680","40,079,353","40,296,678","39,733,564","39,984,022","39,823,811","40,023,520","40,558,210"
Space heating,"38,136,234","38,317,671","38,540,012","38,724,361","38,862,308","38,989,059","39,331,104","39,593,509","40,008,680","40,079,353","40,296,678","39,733,564","39,984,022","39,823,811","40,023,520","40,558,210"
Solids,"536,664","474,060","433,321","431,696","373,844","380,116","427,080","505,754","506,489","513,711","656,317","667,892","555,219","476,458","476,273","475,934"
Liquified petroleum gas (LPG),"95,317","96,322","96,648","96,837","127,627","123,775","129,827","130,819","147,851","154,249","154,958","158,482","149,544","139,750","121,081","100,530"
Gas/Diesel oil incl. biofuels (GDO),"13,127,706","13,429,830","12,685,960","12,498,976","11,864,313","11,776,672","11,768,275","10,747,337","10,712,730","10,587,906","10,486,728","10,483,102","10,689,343","10,718,349","10,963,730","10,332,355"
Gases incl. biogas,"15,148,278","15,330,689","16,149,619","16,163,201","16,833,972","16,850,629","16,961,406","17,592,066","18,097,340","18,094,328","18,035,812","17,400,289","18,072,478","17,214,360","17,081,482","17,660,315"
Biomass and wastes,"2,315,325","2,320,213","2,387,150","2,683,881","2,728,929","2,827,572","3,020,662","3,489,928","3,491,347","3,822,341","4,037,362","4,052,105","4,063,629","4,073,040","4,113,412","4,333,014"
Geothermal energy,-,-,-,"1,547","3,849","4,207","4,498","5,312","6,644","9,954","16,000","21,390","26,010","26,166","29,446","31,879"
Derived heat,"5,345,229","5,048,569","5,039,836","4,906,568","4,898,193","4,885,428","4,847,550","4,844,257","4,796,562","4,677,135","4,655,606","4,629,970","4,002,881","4,682,365","4,698,163","5,048,913"
Advanced electric heating,"38,013","47,137","61,956","76,243","97,028","116,987","141,766","178,186","216,309","260,879","325,744","441,089","550,639","625,090","710,117","782,320"
Conventional electric heating,"1,529,702","1,570,851","1,685,522","1,865,412","1,934,553","2,023,673","2,030,040","2,099,850","2,033,408","1,958,850","1,928,151","1,879,245","1,874,279","1,868,233","1,829,816","1,792,950"
